idno,filename,type,year
dh1042,THODEN_Klaus_Forschung__Informationswissenschaft_und_Archiv_.xml,Vortrag,2023
dh1043,THULL_Bernhard_Entwicklung_des_digitalen_Tanzarchivs_der_Pina_Bausch_Stiftung.txt,unbekannt,2014
dh1044,TIETZ_Tabea_Knowledge_Graph_basierte_Forschungsdatenintegrat.xml,Vortrag,2023
dh1045,TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_.xml,Poster,2018
dh1046,TRENKLE_Viktoria_Schrift_und_Zeichen_Computergestützte_Analyse_von_hochmittelalterlichen_Papsturkunden.txt,unbekannt,2014
dh1047,TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml,Poster,2018
dh1048,TRILCKE_Peer_Open_Archives_VR__Ein_3D_Modell_des_Theodor_Fon.xml,Poster,2023
dh1049,TRIPPEL_Thorsten_CLARIN_D_eine_Forschungsinfrastruktur_für_die_Geistes_und_Sozialwissenschaften.txt,unbekannt,2014
dh1050,TRIPPEL_Thorsten_Gute_Forschungsdaten__bessere_Forschung__wi.xml,Panel,2018
dh1051,TRIPPEL_Thorsten_Korpora_modular__verteilt__vernetzt_in_Text.xml,Vortrag,2023
dh1052,TU_Ngoc_Duyen_Tanja_Projektvorstellung___Sprachanfragen__Emp.xml,Poster,2023
dh1053,ULLRICH_Sabine__Aufdecken_von__versteckten__Einflüssen__Teil.xml,Poster,2018
dh1054,VARACHKINA_Hanna_Pipelines_f_r_Natural_Language_Processing_u.xml,Workshop,2023
dh1055,VASOLD_Gunter_Unterstützung_von_Forschungsprozessen_in_einem_internationalen_Forschungsprojekt.txt,unbekannt,2014
dh1056,VERTAN_Christina_Das_Balkanbild_in_Deutschland_während_der_letzten_300_Jahre.txt,unbekannt,2014
dh1057,VERTAN_Cristina_Eine_Fallstudie_zur_Annotation_von_Vagheit_i.xml,Poster,2018
dh1058,VIEHHAUSER_Gabriel_Historische_Stilometrie_Methodische_Vorschläge_für_eine_Annäherung.txt,unbekannt,2014
dh1059,VOGELER_Georg_Building_a_virtual_research_environment_to_mov.xml,Poster,2023
dh1060,VOGELER_Georg_Warum_werden_mittelalterliche_und_frühneuzeitliche_Rechnungsbücher_eigentlich_nicht_digital_ediert.txt,unbekannt,2014
dh1061,VON_PIPPICH_Waltraud_Von_der_Kurve_zur_Epoche_Wie_Rotquantitäten_in_Bildern_Aussagen_über_Epoche.txt,unbekannt,2014
dh1062,VON_SCHWERIN_Jennifer_Verbundprojekt_MayaArch3D_Ein_webbasiertes_3D_GIS_zur_Analyse.txt,unbekannt,2014
dh1063,vortraege-001.xml,Vortrag,2016
dh1064,vortraege-002.xml,Vortrag,2016
dh1065,vortraege-003.xml,Vortrag,2016
dh1066,vortraege-004.xml,Vortrag,2016
dh1067,vortraege-005.xml,Vortrag,2016
dh1068,vortraege-006.xml,Vortrag,2016
dh1069,vortraege-007.xml,Vortrag,2016
dh1070,vortraege-008.xml,Vortrag,2016
dh1071,vortraege-009.xml,Vortrag,2016
dh1072,vortraege-010.xml,Vortrag,2016
